Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made;;
"Jeff Bezos,177.0,United States,Amazon,1,57.0,""Seattle, Washington"",United States,In Relationship,4.0,""Bachelor of Arts/Science, Princeton University"",True";;
"Elon Musk,151.0,United States,""Tesla, SpaceX"",2,49,""Austin, Texas"",United States,In Relationship,7,""Bachelor of Arts/Science, University of Pennsylvania"",True";;
"Bernard Arnault & family,150.0,France,LVMH,3,72,""Paris, France"",France,Married,5,""Bachelor of Arts/Science, Ecole Polytechnique de Paris"",False";;
"Bill Gates,124.0,United States,Microsoft,4,65,""Medina, Washington"",United States,Divorced,3,""Drop Out, Harvard University"",True";;
"Mark Zuckerberg,97.0,United States,Facebook,5,36,""Palo Alto, California"",United States,Married,2,""Drop Out, Harvard University"",True";;
"Warren Buffett,96.0,United States,Berkshire Hathaway,6,90,""Omaha, Nebraska"",United States,""Widowed, Remarried"",3,""Master of Science, Columbia University";" Bachelor of Arts/Science, University of Nebraska Lincoln"",True";
"Larry Ellison,93.0,United States,software,7,76,""Lanai, Hawaii"",United States,In Relationship,4,""Drop Out, University of Chicago";" Drop Out, University of Illinois, Urbana-Champaign"",True";
"Larry Page,91.5,United States,Google,8,48,""Palo Alto, California"",United States,Married,1,""Master of Science, Stanford University";" Bachelor of Arts/Science, University of Michigan"",True";
"Sergey Brin,89.0,United States,Google,9,47,""Los Altos, California"",United States,Married,3,""Master of Science, Stanford University";" Bachelor of Arts/Science, University of Maryland, College Park"",True";
"Mukesh Ambani,84.5,India,diversified,10,64,""Mumbai, India"",India,Married,3,""Drop Out, Stanford University";" Bachelor of Science in Engineering, University of Mumbai"",False";
"Amancio Ortega,77.0,Spain,Zara,11,85,""La Coruna, Spain"",Spain,Married,3,,True";;
"Francoise Bettencourt Meyers & family,73.6,France,L'Oréal,12,67,""Paris, France"",France,Married,2,,False";;
"Zhong Shanshan,68.9,China,""beverages, pharmaceuticals"",13,66,""Hangzhou, China"",China,,,,True";;
"Steve Ballmer,68.7,United States,Microsoft,14,65,""Hunts Point, Washington"",United States,Married,3,""Bachelor of Arts/Science, Harvard University";" Drop Out, Stanford University"",True";
"Ma Huateng,65.8,China,internet media,15,49,""Shenzhen, China"",China,Married,,""Bachelor of Arts/Science, Shenzhen University"",True";;
"Carlos Slim Helu & family,62.8,Mexico,telecom,16,81,""Mexico City, Mexico"",Mexico,Widowed,6,""Bachelor of Arts/Science, Universidad Nacional Autonoma de Mexico"",True";;
"Alice Walton,61.8,United States,Walmart,17,71,""Fort Worth, Texas"",United States,Divorced,,""Bachelor of Arts/Science, Trinity University"",False";;
"Jim Walton,60.2,United States,Walmart,18,72,""Bentonville, Arkansas"",United States,Married,4,""Bachelor of Arts/Science, University of Arkansas"",False";;
"Rob Walton,59.5,United States,Walmart,19,76,""Bentonville, Arkansas"",United States,Married,3,""Doctor of Jurisprudence, Columbia University";" Bachelor of Arts/Science, University of Arkansas"",False";
"Michael Bloomberg,59.0,United States,Bloomberg LP,20,79,""New York, New York"",United States,In Relationship,2,""Master of Business Administration, Harvard Business School";" Bachelor of Arts/Science, Johns Hopkins University"",True";
"Colin Zheng Huang,55.3,China,e-commerce,21,41,""Shanghai, China"",China,,,""Master, University of Wisconsin Madison";" Bachelor of Arts/Science, Zhejiang University"",True";
"MacKenzie Scott,53.0,United States,Amazon,22,51,""Seattle, Washington"",United States,Married,4,""Bachelor of Arts/Science, Princeton University"",False";;
"Daniel Gilbert,51.9,United States,Quicken Loans,23,59,""Franklin, Michigan"",United States,Married,5,""Bachelor of Arts/Science, Michigan State University";" LLB, Wayne State University"",True";
"Gautam Adani & family,50.5,India,""infrastructure, commodities"",24,58,""Ahmedabad, India"",India,Married,2,,True";;
"Phil Knight & family,49.9,United States,Nike,25,83,""Hillsboro, Oregon"",United States,Married,3,""Master of Business Administration, Stanford Graduate School of Business";" Bachelor of Arts/Science, University of Oregon"",True";
"Jack Ma,48.4,China,e-commerce,26,56,""Hangzhou, China"",China,Married,,""Bachelor of Arts/Science, Hangzhou Teacher's Institute"",True";;
"Charles Koch,46.4,United States,Koch Industries,27,85,""Wichita, Kansas"",United States,Married,2,""Bachelor of Arts/Science, Massachusetts Institute of Technology";" Master of Science, Massachusetts Institute of Technology"",False";
"Julia Koch & family,46.4,United States,Koch Industries,27,59,""New York, New York"",United States,Widowed,3,,False";;
"Masayoshi Son,45.4,Japan,""internet, telecom"",29,63,""Tokyo, Japan"",Japan,Married,2,""Bachelor of Arts/Science, University of California, Berkeley"",True";;
"Michael Dell,45.1,United States,Dell computers,30,56,""Austin, Texas"",United States,Married,4,""Drop Out, The University of Texas at Austin"",True";;
"Tadashi Yanai & family,44.1,Japan,fashion retail,31,72,""Tokyo, Japan"",Japan,Married,2,""Bachelor of Arts/Science, Waseda University"",True";;
"François Pinault & family,42.3,France,luxury goods,32,84,""Paris, France"",France,Married,3,""Drop Out, High School"",True";;
"David Thomson & family,41.8,Canada,media,33,63,""Toronto, Canada"",Canada,Divorced,4,""Master of Arts, University of Cambridge"",False";;
Beate Heister & Karl Albrecht Jr.,39.2,Germany,supermarkets,34,,Germany,Germany,,,,False;;
"Wang Wei,39.0,China,package delivery,35,50,""Shenzhen, China"",China,,,,True";;
"Miriam Adelson,38.2,United States,casinos,36,75,""Las Vegas, Nevada"",United States,Widowed,5,""Bachelor of Science, Hebrew University Jerusalem"",False";;
"He Xiangjian,37.7,China,home appliances,37,78,""Foshan, China"",China,Married,3,,True";;
"Dieter Schwarz,36.9,Germany,retail,38,81,""Neckarsulm, Germany"",Germany,Married,2,,False";;
"Zhang Yiming,35.6,China,TikTok,39,37,""Beijing, China"",China,,,""Bachelor of Engineering, Nankai University"",True";;
"Giovanni Ferrero,35.1,Italy,""Nutella, chocolates"",40,56,""Brussels, Belgium"",Italy,Married,2,,False";;
"Alain Wertheimer,34.5,France,Chanel,41,72,""New York, New York"",France,Married,3,,False";;
"Gerard Wertheimer,34.5,France,Chanel,41,70,""New York, New York"",France,Married,2,,False";;
"Li Ka-shing,33.7,Hong Kong,diversified,43,92,Hong Kong,Hong Kong,Widowed,2,""Drop Out, High School"",True";;
"Qin Yinglin & family,33.5,China,pig breeding,44,56,""Nanyang, China"",China,Married,,,True";;
"William Lei Ding,33.0,China,online games,45,49,""Hangzhou, China"",China,,,""Bachelor of Arts/Science, University of Electronic Science and Technology of China"",True";;
"Len Blavatnik,32.0,United States,""music, chemicals"",46,63,""London, United Kingdom"",United States,Married,,""Master of Science, Columbia University"; Master of Business Administration, Harvard Business School;" Bachelor of Arts/Science, Moscow State University"",True"
"Lee Shau Kee,31.7,Hong Kong,real estate,47,93,""Hong Kong, Hong Kong"",Hong Kong,Divorced,5,,True";;
"Jacqueline Mars,31.3,United States,""candy, pet food"",48,81,""The Plains, Virginia"",United States,Divorced,3,""Bachelor of Arts/Science, Bryn Mawr College"",False";;
"John Mars,31.3,United States,""candy, pet food"",48,85,""Jackson, Wyoming"",United States,Married,3,""Diploma, The Hotchkiss School";" Bachelor of Arts/Science, Yale University"",False";
"Yang Huiyan & family,29.6,China,real estate,50,39,""Foshan, China"",China,Married,,""Bachelor of Arts/Science, Ohio State University"",False";;
"Alexey Mordashov & family,29.1,Russia,""steel, investments"",51,55,""Moscow, Russia"",Russia,Married,7,""Bachelor of Arts/Science, Leningrad Institute of Economics";" Master of Business Administration, University of Northumbria"",True";
"Robin Zeng,28.4,Hong Kong,batteries,52,52,""Ningde, China"",Hong Kong,,,""Doctorate, Chinese Academy of Social Sciences"",True";;
"Hui Ka Yan,27.7,China,real estate,53,62,""Shenzhen, China"",China,Married,2,""Bachelor of Arts/Science, Wuhan U of  Science & Tec"",True";;
"Susanne Klatten,27.7,Germany,""BMW, pharmaceuticals"",53,59,""Bad Homburg, Germany"",Germany,Married,3,""Master of Business Administration, International Institute for Management and Development"",False";;
"Vladimir Potanin,27.0,Russia,metals,55,60,""Moscow, Russia"",Russia,Married,7,""Bachelor of Arts/Science, Moscow Institute of International Relations"",True";;
"Dietrich Mateschitz,26.9,Austria,Red Bull,56,76,""Fuschl am See, Austria"",Austria,Single,1,""Master of Business Administration, University of Vienna"",True";;
"Pang Kang,26.4,China,soy sauce,57,65,""Foshan, China"",China,,,,True";;
"Klaus-Michael Kuehne,26.3,Germany,shipping,58,83,""Schindellegi, Switzerland"",Germany,Married,,,False";;
"Vladimir Lisin,26.2,Russia,""steel, transport"",59,65,""Moscow, Russia"",Russia,Married,3,""Doctorate, Russian Academy of Economics";" Bachelor of Arts/Science, Siberian Metallurgical Institute"",True";
"Wang Xing,26.1,China,e-commerce,60,42,""Beijing, China"",China,,,""Graduate, Tsinghua University"",True";;
"German Larrea Mota Velasco & family,25.9,Mexico,mining,61,67,""Mexico City, Mexico"",Mexico,Married,,,False";;
"Leonardo Del Vecchio & family,25.8,Italy,eyeglasses,62,85,""Milan, Italy"",Italy,Married,6,,True";;
"Takemitsu Takizaki,25.8,Japan,sensors,62,75,""Osaka, Japan"",Japan,Married,,,True";;
"Leonard Lauder,25.5,United States,Estee Lauder,64,88,""New York, New York"",United States,""Widowed, Remarried"",2,""Bachelor of Arts/Science, University of Pennsylvania"",False";;
"Thomas Peterffy,25.0,United States,discount brokerage,65,76,""Palm Beach, Florida"",United States,Divorced,3,""Drop Out, New York University"",True";;
"Vagit Alekperov,24.9,Russia,oil,66,70,""Moscow, Russia"",Russia,Married,1,""Bachelor of Science in Engineering, Azerbaijan Institute of Oil and Chemistry"",True";;
"Leonid Mikhelson,24.9,Russia,""gas, chemicals"",66,65,""Moscow, Russia"",Russia,Married,2,""Bachelor of Arts/Science, Kuybyshev Engineering and Construction Institute"",True";;
"Jim Simons,24.6,United States,hedge funds,68,83,""East Setauket, New York"",United States,Married,3,""Bachelor of Arts/Science, Massachusetts Institute of Technology";" Doctorate, University of California, Berkeley"",True";
"Jiang Rensheng & family,24.4,China,vaccines,69,67,""Chongqing, China"",China,Married,1,""Associate in Arts/Science, Guilin Medical University"",True";;
"Gina Rinehart,23.6,Australia,mining,70,67,""Perth, Australia"",Australia,Widowed,4,,False";;
"Rupert Murdoch & family,23.5,United States,""newspapers, TV network"",71,90,""New York, New York"",United States,Married,6,""Bachelor of Arts/Science, Oxford University";" Master of Arts, Oxford University"",False";
"Shiv Nadar,23.5,India,software services,71,75,""Delhi, India"",India,Married,1,""Bachelor of Arts/Science, PSG College of Technology"",True";;
"Zhang Zhidong,23.4,China,internet media,73,49,""Shenzhen, China"",China,,,""Bachelor of Arts/Science, Shenzhen University";" Master of Arts, South China University of Technology"",True";
"Iris Fontbona & family,23.3,Chile,mining,74,78,""Santiago, Chile"",Chile,Widowed,3,,False";;
"Lei Jun,23.0,China,smartphones,75,51,""Beijing, China"",China,Married,2,""Bachelor of Science in Engineering, Wuhan University"",True";;
"Zhang Yong,23.0,Singapore,restaurants,75,50,""Singapore, Singapore"",Singapore,Married,,,True";;
"Richard Qiangdong Liu,22.4,China,e-commerce,77,47,""Beijing, China"",China,Married,,""Bachelor of Arts/Science, Renmin University of China"",True";;
"Gennady Timchenko,22.0,Russia,""oil, gas"",78,68,""Moscow, Russia"",Russia,Married,3,""Bachelor of Arts/Science, Leningrad Mechanical Institute"",True";;
"Stephen Schwarzman,21.9,United States,investments,79,74,""New York, New York"",United States,Married,3,""Master of Business Administration, Harvard Business School";" Bachelor of Arts/Science, Yale University"",True";
"Goh Cheng Liang,21.7,Singapore,paints,80,93,""Singapore, Singapore"",Singapore,Widowed,3,,True";;
"Stefan Quandt,21.6,Germany,BMW,81,54,""Frankfurt, Germany"",Germany,Married,1,""Associate in Arts/Science, Technical University of Karlsruhe"",False";;
"Li Xiting,21.5,Singapore,medical devices,82,70,""Shenzhen, China"",Singapore,,,""Bachelor of Science, University of Science and Technology of China"",True";;
