Name;NetWorth;Country;Source;Rank;Age;Residence;Citizenship;Status;Children;Education;Self_made;
Jeff Bezos;177.0;United States;Amazon;1;57.0;Seattle, Washington;United States;In Relationship;4.0;Bachelor of Arts/Science, Princeton University;True;
Elon Musk;151.0;United States;Tesla, SpaceX;2;49.0;Austin, Texas;United States;In Relationship;7.0;Bachelor of Arts/Science, University of Pennsylvania;True;
Bernard Arnault & family;150.0;France;LVMH;3;72.0;Paris, France;France;Married;5.0;Bachelor of Arts/Science, Ecole Polytechnique de Paris;False;
Bill Gates;124.0;United States;Microsoft;4;65.0;Medina, Washington;United States;Divorced;3.0;Drop Out, Harvard University;True;
Mark Zuckerberg;97.0;United States;Facebook;5;36.0;Palo Alto, California;United States;Married;2.0;Drop Out, Harvard University;True;
Warren Buffett;96.0;United States;Berkshire Hathaway;6;90.0;Omaha, Nebraska;United States;Widowed, Remarried;3.0;Master of Science, Columbia University;;
Larry Ellison;93.0;United States;software;7;76.0;Lanai, Hawaii;United States;In Relationship;4.0;Drop Out, University of Chicago;;
Larry Page;91.5;United States;Google;8;48.0;Palo Alto, California;United States;Married;1.0;Master of Science, Stanford University;;
Sergey Brin;89.0;United States;Google;9;47.0;Los Altos, California;United States;Married;3.0;Master of Science, Stanford University;;
Mukesh Ambani;84.5;India;diversified;10;64.0;Mumbai, India;India;Married;3.0;Drop Out, Stanford University;;
Amancio Ortega;77.0;Spain;Zara;11;85.0;La Coruna, Spain;Spain;Married;3.0;;True;
Francoise Bettencourt Meyers & family;73.6;France;L'OrГ©al;12;67.0;Paris, France;France;Married;2.0;;False;
Zhong Shanshan;68.9;China;beverages, pharmaceuticals;13;66.0;Hangzhou, China;China;;;;True;
Steve Ballmer;68.7;United States;Microsoft;14;65.0;Hunts Point, Washington;United States;Married;3.0;Bachelor of Arts/Science, Harvard University;;
Ma Huateng;65.8;China;internet media;15;49.0;Shenzhen, China;China;Married;;Bachelor of Arts/Science, Shenzhen University;True;
